strategy,variant,parameterization,stage,mean_normalized_data_misfit,bimodality_coefficient,connectivity_mae_to_truth,largest_component_fraction_p50,fopt_p10,fopt_p50,fopt_p90,covered,source_artifact,source_artifact_sha256,source_report,source_report_sha256,source_git_commit,derived_git_commit
augmentation,fm_na8,fm,2,70.30360497127184,0.4880372772294511,0.2209375,0.7508699834991414,496157.984375,500952.65625,507410.653125,True,artifacts/egg_inversion_augmentation_fm_na8.h5,4820735f4370b85e329a13d9d142557e4523c84f5d87b3ff62d28aac91506fde,results/raw/egg_inversion_augmentation_fm_na8.json,24a10ce7fcee6ec972403818c18da67e9fc6bdb008b05708d292a43b0ea17a3d,8f77479b8851c67f6614f954cf189f25534190ea,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na8,fm,3,42.33156626106138,0.48936078205031136,0.17375,0.7121183096076804,498912.696875,503453.625,507701.88125,True,artifacts/egg_inversion_augmentation_fm_na8.h5,4820735f4370b85e329a13d9d142557e4523c84f5d87b3ff62d28aac91506fde,results/raw/egg_inversion_augmentation_fm_na8.json,24a10ce7fcee6ec972403818c18da67e9fc6bdb008b05708d292a43b0ea17a3d,8f77479b8851c67f6614f954cf189f25534190ea,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na8,fm,4,25.565790032842884,0.493307668615947,0.1615625,0.7160079944075998,501816.684375,505299.109375,508489.034375,True,artifacts/egg_inversion_augmentation_fm_na8.h5,4820735f4370b85e329a13d9d142557e4523c84f5d87b3ff62d28aac91506fde,results/raw/egg_inversion_augmentation_fm_na8.json,24a10ce7fcee6ec972403818c18da67e9fc6bdb008b05708d292a43b0ea17a3d,8f77479b8851c67f6614f954cf189f25534190ea,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na8,fm,5,17.783681512098667,0.49247370386057815,0.1471875,0.5572355607350985,501807.321875,505486.046875,508882.825,True,artifacts/egg_inversion_augmentation_fm_na8.h5,4820735f4370b85e329a13d9d142557e4523c84f5d87b3ff62d28aac91506fde,results/raw/egg_inversion_augmentation_fm_na8.json,24a10ce7fcee6ec972403818c18da67e9fc6bdb008b05708d292a43b0ea17a3d,8f77479b8851c67f6614f954cf189f25534190ea,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na8,fm,6,11.59389102239068,0.4938160451637281,0.13,0.5127832772664236,503680.73125,506737.765625,509157.659375,True,artifacts/egg_inversion_augmentation_fm_na8.h5,4820735f4370b85e329a13d9d142557e4523c84f5d87b3ff62d28aac91506fde,results/raw/egg_inversion_augmentation_fm_na8.json,24a10ce7fcee6ec972403818c18da67e9fc6bdb008b05708d292a43b0ea17a3d,8f77479b8851c67f6614f954cf189f25534190ea,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na8,fm,7,9.649562466608016,0.49395780850532905,0.13343750000000001,0.5002569216798178,503863.815625,506429.390625,508667.096875,True,artifacts/egg_inversion_augmentation_fm_na8.h5,4820735f4370b85e329a13d9d142557e4523c84f5d87b3ff62d28aac91506fde,results/raw/egg_inversion_augmentation_fm_na8.json,24a10ce7fcee6ec972403818c18da67e9fc6bdb008b05708d292a43b0ea17a3d,8f77479b8851c67f6614f954cf189f25534190ea,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na8,fm,8,6.6282731925084235,0.492934266085448,0.129375,0.490191157305905,503483.884375,505804.6875,508290.7875,True,artifacts/egg_inversion_augmentation_fm_na8.h5,4820735f4370b85e329a13d9d142557e4523c84f5d87b3ff62d28aac91506fde,results/raw/egg_inversion_augmentation_fm_na8.json,24a10ce7fcee6ec972403818c18da67e9fc6bdb008b05708d292a43b0ea17a3d,8f77479b8851c67f6614f954cf189f25534190ea,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na16,fm,0,140.7465107424259,0.48380049015804777,0.2025,0.7851834081948177,495341.4,501319.546875,506762.478125,True,artifacts/egg_inversion_augmentation_fm_na16.h5,e3b3a5e07bcd8715b4d4360255a0e1352cb9767790b634b48fcb46f9741b42f8,results/raw/egg_inversion_augmentation_fm_na16.json,39e930b70c8380459e77b9ad2be2fc4e71fe9edb10f9af52d23bf1782d79ea11,4f65b69f8bf96184f3338a5cdc411911aae6f18a,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na16,fm,1,78.14324034368991,0.4851867264161907,0.18656250000000002,0.7601559442832286,496183.459375,501843.8125,507311.4375,True,artifacts/egg_inversion_augmentation_fm_na16.h5,e3b3a5e07bcd8715b4d4360255a0e1352cb9767790b634b48fcb46f9741b42f8,results/raw/egg_inversion_augmentation_fm_na16.json,39e930b70c8380459e77b9ad2be2fc4e71fe9edb10f9af52d23bf1782d79ea11,4f65b69f8bf96184f3338a5cdc411911aae6f18a,59eb0e374c64cd0c025287969c0a64d701a08473
augmentation,fm_na16,fm,2,67.44246892909351,0.48413839148472254,0.20156249999999998,0.7782938920785576,496119.43125,502088.75,506574.28125,True,artifacts/egg_inversion_augmentation_fm_na16.h5,e3b3a5e07bcd8715b4d4360255a0e1352cb9767790b634b48fcb46f9741b42f8,results/raw/egg_inversion_augmentation_fm_na16.json,39e930b70c8380459e77b9ad2be2fc4e71fe9edb10f9af52d23bf1782d79ea11,4f65b69f8bf96184f3338a5cdc411911aae6f18a,59eb0e374c64cd0c025287969c0a64d701a08473
